gene_ID	SRR11248243_Sporocysts	SRR922068_Sporocysts	SRR922067_Miracidia	SRR1142421_Cercariae	SRR1142423_Cercariae	SRR5860351_Cercariae	SRR8763170_Somula	SRR8763171_Somula	SRR8763176_Somula	SRR8763177_Somula	SRR8763178_Somula	SRR8763180_Somula	ERR572993_Males	ERR573090_Males	ERR582515_Males	SRR5170166_Males	SRR5170167_Males	SRR5170168_Males	ERR572988_Females	ERR573085_Females	ERR578187_Females	SRR5170160_Females	SRR5170161_Females	SRR5170162_Females
Smp_214390.1	0.58	0	0.03	0.14	0	0.23	0	0.07	0.22	0.21	0.49	0.07	0	0	0	0.07	0	0	0	0	0	0.07	0.06	0
Smp_214390.2	0.57	0.05	0.04	0.3	0.2	0.44	1.63	1.59	5.48	3.91	2.12	1.15	0.13	0.5	0.25	0.39	0.3	0.24	0.09	0.43	0.1	0.24	0	0.24
Smp_241400.1	326.89	276.84	123.5	23.42	20.74	34.11	17.55	17.24	17.38	17.45	15.94	20.49	30.16	19.52	22.4	22.24	20.61	22.98	46.95	48.09	49.1	32.32	36.05	45.89
Smp_241410.1	10.22	0	0.33	57.83	161.46	48.83	11.14	9.36	15.1	12.74	9.42	9.53	11.76	13.62	14.78	17.44	17.88	18.65	14.77	11.9	11.96	24.93	28.02	26.18
Smp_241410.2	0	0.12	0	0.21	0.25	0.34	0	0	0	0	0.09	0.39	0	0	0	0	0	0	0	0	0	0	0	0.2
Smp_241420.1	34.01	1.63	3.7	46.75	32.83	63.33	3.71	4.89	11.45	9.59	5.86	6.05	15.5	20.05	16.67	26.32	21.03	25.07	9.22	9.79	6.1	14.9	14.86	19.47
Smp_241420.2	0.05	0	0	23.78	74.29	20.57	6.19	4.49	6.27	4.54	4.01	4.51	0	0	3.56	9.73	12.41	8.52	2.06	3.2	6.37	9.84	13.73	13.13
Smp_241430.1	7.71	0.18	0.3	70.24	23.61	109.84	11.59	12.18	18.92	17.77	15.59	14.92	0	0.23	0.23	0.63	0.44	0.58	0.32	0.63	0.38	3.62	3.46	2.95
Smp_241440.1	0.32	0.18	6.57	0.36	0.56	2.54	0.29	0.6	0.37	2.91	1.11	0.24	2.03	0.45	0.68	1.33	0.98	1.88	107.35	95.19	95.01	34.57	29.8	20.51
Smp_241450.1	8.96	1.13	0.29	10.52	2.05	7.09	3.06	5.48	7.03	9.57	2.77	7.47	13.31	12.7	21.37	20.87	20.51	21.17	0	0	3.06	18.94	14.41	28.86
Smp_241450.2	38.6	5.79	1.05	2.05	0.12	10.81	20.07	16.58	29.04	19.04	16.63	20.94	32.29	28.73	12.3	55.99	44.33	56.58	9.92	8.94	5.88	42.43	58.11	40.98
Smp_241460.1	17.3	4.25	3.33	6.5	6.68	6.59	5.8	3.42	8.38	10.63	2.84	7.47	6.65	4.24	8.49	15.07	12.11	12.75	12.13	9.49	5.88	15.65	15.18	16.77
Smp_241460.2	6.7	0.79	1.03	6.95	0	5.79	3.93	8.16	7.98	5.99	7.05	3.53	6.41	7.26	4.09	3.83	5.47	6.22	2.13	4.55	5.04	1.95	3.71	2.52
Smp_241470.1	63.06	4.97	4.06	2.41	1.66	4.73	6.5	7.76	12.77	11.28	8.66	8.72	28.96	35.12	31.28	34.74	28.61	29.62	3.95	4.13	3.63	6.06	7.48	11.57
