gene_ID	SRR11248243_Sporocysts	SRR922068_Sporocysts	SRR922067_Miracidia	SRR1142421_Cercariae	SRR1142423_Cercariae	SRR5860351_Cercariae	SRR8763170_Somula	SRR8763171_Somula	SRR8763176_Somula	SRR8763177_Somula	SRR8763178_Somula	SRR8763180_Somula	ERR572993_Males	ERR573090_Males	ERR582515_Males	SRR5170166_Males	SRR5170167_Males	SRR5170168_Males	ERR572988_Females	ERR573085_Females	ERR578187_Females	SRR5170160_Females	SRR5170161_Females	SRR5170162_Females
SmLNCA118652-IBu	193.7	18.78	7.5	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118656-IBu	0.3	11.6	13.04	6.7	11.87	11.06	9.33	9.48	23.32	20.62	23.62	6.53	4.68	5.17	4.91	2.81	2.04	3.54	2.9	4.36	3.17	2.71	2.94	7.76
SmLINC118657-IBu	4.02	0.87	1.55	8.49	9.54	1.42	8.44	6.24	14.13	19.95	16.98	7.73	8.59	2.64	8.79	5.25	1.97	2.61	4.94	6.78	5.93	2.42	2.23	2.37
SmLINC118666-IBu	0.5	0	0	0.05	0	0	0.09	0.49	0.36	1.78	0.81	0.07	0.81	3.48	0.81	0	0	0	0.93	0.55	0.89	0	0	0
SmLNCA118684-IBu	98.94	12.29	2.15	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118687-IBu	4.17	3.9	4.38	1.01	0.36	4.1	0	0	0	0	1.34	0.56	0	2.81	4.94	0	0	0	0	0	0	0	0	0
SmLNCA118688-IBu	0.67	0.15	0.16	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCS101701-IBu	1.15	0.2	0.28	0	0	0.2	0	0	0	2.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118689-IBu	0.7	0.28	0.42	0	0	0.19	0	0.46	0	0	0	0	0	0	0	0.53	0	1.7	1.53	2.24	7.53	2.43	5.76	2.45
SmLINC118691-IBu	0.31	0.18	0	27.9	17.81	0.41	20.91	22.98	19.33	22.72	20.52	19.09	25.14	17.62	25.51	23.62	15.26	27.52	10.06	10.75	17.47	13.88	13.75	12.1
SmLINC118710-IBu	31.16	73.06	69.36	92.82	50.66	89.93	6.14	19.89	36.7	36.8	46.52	19.19	14.18	15.15	34.65	10.13	2.93	8.38	9.96	13.93	10.51	1.01	0.69	2.11
SmLINC118711-IBu	0.97	0.41	0.31	0.68	0	0.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0
SmLINC118716-IBu	0.69	1.03	1.04	0	0	0.53	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118727-IBu	10.57	3.5	1.47	1.96	1.05	4.42	0.55	0.69	0	0	0.75	0.62	0	0	0.52	0.12	0	0.29	0.35	0.35	0	0	0.13	0.15
SmLINC118767-IBu	2.4	0.62	0.07	0	1.05	2.3	1.32	1.27	0	0	0	2.24	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCS118816-IBu	0	0	0	1.6	0	0.04	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	0	0	0
SmLNCS118819-IBu	0	0	0	0	4.26	0	0	0.31	0	0	0	0	3.29	0	0.83	0.38	0.25	0	0	0	0	0	0.21	0.25
SmLNCA118827-IBu	4.36	10.23	14.83	4.77	0	3.19	0.51	2.64	1.6	1.62	1.87	1.6	0.92	1.92	0	0.78	0.19	0	0.65	0	0	0	0.16	0.41
SmLINC118843-IBu	47.05	6.04	2.67	0	0	1.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118854-IBu	3.71	12.19	14.7	17.14	16.95	17.52	1.77	3.11	0.72	0	6.1	0.76	1.97	4.24	3.68	1.42	0	2.35	1.11	0	0	0	0	0
SmLINC118856-IBu	2.62	2.5	5.96	27.86	23.56	8.05	5.88	4.29	15.13	7.43	17.14	6.72	2.15	7.27	0	4.02	0	0.63	1.2	1.24	0	0	1.05	0
SmLINC118857-IBu	0	0	0	6.18	5.57	3.02	1.01	0	0	0	0	0	0	0	0	0.51	0	0	0	0	0	0.61	0	0
SmLINC118858-IBu	5.34	4.75	4.47	3.58	0.8	18.92	2.11	0.97	2.75	1.88	1.08	0.92	4.27	1.81	6.37	0.55	0.17	1.22	3.48	3.54	1.42	0.15	0.14	0
SmLINC101734-IBu	0	0	0.07	0	0	0.1	0	0	0	0	0.22	0	0.59	0.59	0	0	0	0	0	0.4	0	0	0	0
SmLNCA118865-IBu	9.23	2.44	0.96	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118869-IBu	1.25	0	0	0	0	2.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118888-IBu	4.28	1.84	1.01	0.18	0	1.78	2.16	1.12	0.99	1.38	0.96	1.38	1.09	0.71	0.3	0.28	0.19	0.19	0.81	0.72	0.6	0.37	0.67	0.99
SmLINC118896-IBu	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.52	0	0.29	0
SmLNCA118894-IBu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	1.74	3.34	0.75	1.02	0.68	0
SmLNCA118895-IBu	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0	0	0	0	0	1.38	1.21	0.51	0	1.1	0.36
SmLNCA118897-IBu	0.66	0	0	0	0	0.17	0	0	0	0	0	0	0.8	0	0	0	0	0	1.18	0	0.66	0	0.41	0.72
SmLNCA118902-IBu	19.04	2.64	1.52	1.24	0.75	7.59	2.49	2.48	2.33	2.16	1.11	2.53	3.04	2.58	4.05	4.19	3.46	5.53	2.22	2.12	0.98	2.03	2.29	1.18
SmLINC118907-IBu	0.08	0.02	0.15	0	0	0.05	0	0	2.64	2.63	1.06	0.1	0	0	0	0.04	0	0	0	0	0	0	0	0
SmLNCA118906-IBu	0.08	0	0	0	0	0	0.18	0	0	1	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC101744-IBu	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0
SmLNCA101745-IBu	0.59	0	0.03	0.17	0	0.1	0	0.11	0	0	0.13	0.1	0	0	0.23	0	0.04	0.04	0	0	0.19	0	0.03	0
SmLNCA118916-IBu	0	0.01	0.57	0	7.23	0.05	0	0	0.59	0.35	0	0.21	1.66	0	0	0.18	0.43	0.22	0.56	0	0	0	0.34	0
SmLNCA118917-IBu	20.39	9.12	6.48	0.59	0	5.34	4.97	5.52	2.82	1.61	1.28	4.07	3.52	1.99	2.02	1.04	1	1.01	2.07	1.36	0.41	0.88	0.62	0.58
SmLNCA118920-IBu	0	1	1	24.42	54.44	2.1	0	0	3.99	3.73	21.39	0	1.74	3.3	0	0	0	0	2.05	0	1.32	0	0	0
SmLINC118927-IBu	16.05	6.43	13.22	37.56	34.38	14.24	76.25	65.8	51.64	50.19	65.12	56.6	19.2	23.71	5.66	11.58	21.72	8.59	4.95	0	13.86	16.22	12.18	9.6
SmLINC118928-IBu	49.88	53.68	80.32	100.67	55.24	121.53	141.01	142.44	68.79	72.05	103.55	140.56	33.24	52.09	55.68	38.69	56.76	42.71	20.39	29.4	18.29	45.45	32.08	41.4
SmLINC118930-IBu	3.74	0.54	0.72	0.1	0	1.92	0.67	0	0.24	1.74	0	0.56	0.61	0	0	0	0	0.19	0	0	0	0	0	0
SmLNCA118945-IBu	11.84	0.27	0	0	0	2.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118949-IBu	57.3	0.55	0.18	1.61	0.85	1.8	3.71	0.44	2.06	1.24	0	2.37	0	0	0	0.26	0	0	0.74	0	0	0.59	0	0
SmLINC118950-IBu	35.18	1.68	1.42	0.11	0.39	0.98	0.79	0	0	0	0.81	1.12	0	0	0	0.16	0	0	0.95	0.47	0	0	0.18	0
SmLNCA118951-IBu	12.05	1.84	1.6	0.64	0.19	1.07	0.3	0.76	0.42	0.39	0.42	1.03	0.62	0.3	0	0.49	0.17	0.6	0.42	0.21	0.76	0.23	0.22	0.35
SmLNCA118952-IBu	1.72	0.17	0.39	0.14	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118970-IBu	0	0	0	0	0	0.4	1.26	0.41	0.58	0	0	0.57	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118971-IBu	2.52	0	0.23	0	0	0.63	0	0.21	0.49	0.5	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0
SmLNCA118972-IBu	0	0	0	0.13	0.23	0	0.43	0.84	0	0	0	0.59	0	0	0	0	0	0.25	0	0	0	0	0	0.26
SmLNCA118973-IBu	1.22	0	0.54	0	0	0.65	0	0	0	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA118976-IBu	9.07	0	0	16.91	4.28	2.07	0.44	2.99	7.83	12.8	9.64	0.81	7.41	5.54	16.8	0.63	0	0.4	6.99	11.77	5.08	0.49	0.22	0
SmLNCA118979-IBu	6.24	0	0	0	0	0	1.08	3.44	23.14	15.45	17.68	5.38	17.95	5.01	17.34	0.42	0	0	17.07	7.49	14.37	0.34	0.24	0
SmLNCA118981-IBu	0	20.16	10.24	0	0	6.82	1.83	0.51	14.13	16.38	42.41	1.09	0	0	0.83	0	0	0	0	0	0	0	0	0
SmLINC118988-IBu	103.25	11.33	7.98	0	0	6.1	0.33	0.15	0	0	0	0.14	0	0	0.47	0	0	0	0	0	0	0.12	0	0.13
SmLINC118989-IBu	27.56	0.92	1.12	0	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118990-IBu	278.22	3.99	0.44	0	0.08	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118992-IBu	6.01	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC118996-IBu	2.14	0.54	0	1.58	2.15	3.48	0.38	0	0.4	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0.07	0
SmLINC118997-IBu	0	0	0.52	0	0	0	0	0.37	0	0.38	0.1	0.08	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119000-IBu	82.99	0.2	0.13	1.5	1.27	2.9	1.83	3.42	1.63	1.59	1.12	3.11	0.52	0	0	0.18	0.21	0.14	0	0.53	0	0.31	0.25	0.22
SmLINC101754-IBu	0.31	0.08	0.06	0.04	0	0.05	0.25	0.23	0.23	0.34	0.19	0.25	6.28	4.04	6.02	4.54	3.93	4.81	1.2	1.96	2.15	0.79	0.79	0.76
SmLINC100154-IBu	0.66	0	0	0	0	0	0	1.28	0	0	0	1.3	0	0	0	0	0	0.71	0	0	0	0.42	0	0
SmLINC100155-IBu	0	0	0.12	0.75	0	0.5	2.73	1.01	2.74	0	1.01	0	0	0	2.69	0	0	0	0	0	0	0	0	0.65
SmLINC100157-IBu	8.29	0.99	0.93	5.4	4.05	7.11	3.2	3.95	2.4	2.05	3.59	3.29	2.97	3.46	2.55	2.19	1.44	0.69	0.72	0	0.6	0.44	1.54	0.84
SmLINC101755-IBu	0.19	0.11	0.17	0.08	0	0	0	0	0.35	0	0	0	2.35	0.47	2.83	1.95	1.74	2.69	0.32	0	0.39	0	0.35	0.68
SmLINC119021-IBu	2.23	0.01	0.01	0.15	0	0.09	0.31	0.34	1.85	1.44	1.02	0.31	0	0	0	0.11	0.09	0.05	0.12	0.11	0.54	0.4	0.16	0.23
SmLINC119023-IBu	1.3	0.12	0.08	0.11	0	0.15	0	0.51	4.9	8.75	3.02	0.45	0	0	0.71	0	0	0	0	0	0	1.27	0	0.42
SmLNCS119047-IBu	1.97	0.1	0.27	0.28	0	0.13	0	0.77	0	0	0	0	0	0.56	0	0	0	0.16	0	0	0	0	0.14	0.33
SmLNCA119048-IBu	1.31	0	0.06	0	0	0.12	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0.15	0
SmLNCA119049-IBu	2.92	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0
SmLINC119053-IBu	6.81	2.33	0.18	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC101759-IBu	0.38	0	0.08	0	0	0.1	0	0.45	0.17	0	0	0.14	0.46	0	1.38	0.21	0.26	0.26	0	0	0	0.23	0.34	0.26
SmLNCA119055-IBu	1.99	0.09	0.07	0.19	0	0.11	0.76	1.66	0	0.32	0.13	1.71	0	0	0	0.34	0	0.11	0.26	0	0	0	0.09	0
SmLINC119064-IBu	0.65	0.04	0.07	0.24	0	0.06	0	0	0.12	0.15	0	0	0	0	0	0	0	0	0.49	0	0.29	0	0	0
SmLNCA119066-IBu	2.23	0.21	0.31	2.03	2.44	1.42	0.73	0.31	0.33	0.94	0.68	0.29	0.67	0.34	0	0.07	0.08	0.17	0.46	0.22	0	0.38	0.22	0.41
SmLINC119080-IBu	7.38	1.16	0.44	2.7	0.85	0.86	6.43	7.19	0.23	0.22	0.57	5.35	1.33	0.95	2.93	0.25	0.21	0.39	1.42	0.62	0.48	0.19	0.23	0.71
SmLINC119081-IBu	3.62	0.05	0.17	0.52	0	0	1.1	1.33	0.43	0.24	0.1	1.29	0	0.57	0.86	0.07	0	0.1	1.19	0.55	0	0.35	0.19	0.38
SmLNCA119082-IBu	0.91	0.34	0.26	0.2	0	0.92	0	0.26	0.07	0	0	0.1	0.29	0	0	0.09	0.24	0.28	0	0.06	0	0	0.04	0.05
SmLNCA119083-IBu	2.68	1.7	1.17	0.67	0	1.59	1.03	0.66	0.75	1.37	0.36	0.29	0.86	0	0	1.63	0.26	1.29	0	0	0	0.23	0.68	0.53
SmLNCA119092-IBu	9.49	1.49	1.05	3.09	2.34	11.6	4.04	3.91	3.03	3.88	3.34	2.51	7.08	4.62	8.61	4.77	3.74	4.63	4.18	4.58	6.05	2.65	2.86	2.72
SmLNCS119095-IBu	0.24	0	0	0.65	2.2	0.03	1.98	1.4	0.41	0.65	0.49	1.8	0	0	0	0	0	0	0	0	0	0.06	0	0
SmLINC119096-IBu	0.78	0.36	0.58	2.2	5.47	0.93	0.46	0.7	1.75	1.93	0.78	0.58	0.12	0	0.12	0.11	0.09	0.07	0	0.08	0	0.08	0.05	0.1
SmLINC119097-IBu	0.1	0.15	0.2	0.72	2.37	0.35	0.66	0.46	1.62	0.84	0.6	0.14	0	0	0	0.12	0.21	0.14	0.18	0	0	0	0.06	0
SmLINC119098-IBu	0.38	0.09	0.31	1.22	2.1	0.46	0.12	0.23	0.87	1.59	0.97	0.24	0.26	0	0	0.18	0.11	0.11	0.09	0.09	0	0.06	0.12	0
SmLINC119100-IBu	0.47	0.13	0.09	0.46	0.56	0.28	0	0	0	0	1.05	0	0	0	0	0	0	0	0	0	1.12	0	0	0
SmLNCS119102-IBu	2.8	0	0.05	0.07	0	0.23	0.69	0.13	0.14	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119103-IBu	0.99	48.41	69.61	13.11	13.53	28.98	10.08	3.94	0	0.53	1.24	3.64	0	0	4.55	22.23	8.21	15.15	0	0	0	13.1	18.85	13.12
SmLNCS119106-IBu	1.44	0	0	0.1	0	0.1	0.29	0.18	0.2	0.12	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119108-IBu	1.46	1.13	0.64	2.95	2.71	4.25	2.81	1.33	0.54	1.18	3.49	1.17	5.8	1.18	3.5	1.05	0.66	0.66	1.68	2.54	3	0.3	0.87	1.04
SmLNCA119111-IBu	0.26	0.01	0.16	0.56	0.07	1.05	0.06	0.11	0.15	0.19	0.05	0.05	0	0	0	0.1	0	0	0.13	0	0.2	0	0	0.11
SmLINC119113-IBu	0.39	0	0.09	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119114-IBu	0.53	0.03	0.13	0	0	0.13	0	0	0	0.41	0.14	0	0	0	0	0	0	0	0	0	0	0.06	0	0
SmLINC119115-IBu	0.6	0.08	0.12	0.11	0.2	0.07	0	0.12	0.2	0.1	0.37	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119121-IBu	2.15	0.6	0.39	0.8	0	1.36	0.35	0.66	0	0.92	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0
SmLINC119123-IBu	2.41	7.55	13.11	116.58	61.43	15.29	11.29	6.62	38.95	62.37	90.51	11.51	18.17	34.12	26.74	4.74	5.56	2.15	7.58	11.82	11.5	2.8	1.75	3.16
SmLINC119124-IBu	0	0.63	0	26.77	11.48	0.68	0	4.33	7.8	3.25	18.26	0.91	3.1	3.05	5.8	0	0.81	0	4	6.29	1.75	0	0	0
SmLINC119125-IBu	0.86	0.75	0.69	1.89	0.92	0.74	0	0.07	1.15	1.22	1.4	0	1.5	0	0.25	0.17	0.07	0.07	0.17	0.34	1.43	0.06	0	0
SmLNCS119137-IBu	0.44	0	0	0.52	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119139-IBu	0.83	0.57	1.26	3.71	1.67	0.76	3.89	3.01	1.68	2.48	0.4	3.78	1.96	0.96	1.25	0	0	0.31	0	0.72	0	0	0.48	0.6
SmLNCA119140-IBu	19	1.21	0.89	3.6	3.56	12.14	5.04	7.55	2.68	2.14	2.8	7.59	4.03	4.03	4.05	5.74	4.25	6.27	3.01	3.49	2.92	2.48	3.26	3.19
SmLNCS119152-IBu	1.91	0.07	0	0	0	0.04	0.25	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCS119164-IBu	0.65	0.08	0.19	0.15	0.27	0.31	0.16	0.15	0.66	0.2	0.32	1.33	0	0	0	0.1	0	0	0	0.31	0.37	0	0.11	0.13
SmLNCA119167-IBu	1.74	0	0.11	0.31	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0
SmLNCA101772-IBu	0.75	0.48	1.56	0.8	0	0.47	0.22	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119172-IBu	0	0	0	7.03	0	0	2.55	3.08	2.87	2.58	1.97	3.8	1.39	0	5.67	0	0.45	0.43	2.85	0	0	0	0	0.89
SmLNCA119174-IBu	5.38	1.48	0.88	4.5	0.16	5.43	1.96	3.42	2.46	2.82	1.23	2.6	0.53	0.26	0.26	1.14	0.51	0.96	0.91	0.36	0	0.71	0.44	0.44
SmLNCS119177-IBu	33.28	0.73	0.52	2.08	0.79	4.94	3.57	3.66	1.83	1.68	1.71	4.19	0.71	0	0.12	0.11	0.16	0.06	0.41	0.48	0.29	0.31	0.25	0.36
SmLNCS119185-IBu	13.48	1.17	0.47	5.96	10.81	30.04	5.9	4.28	10.02	10.01	6.82	3.15	26.51	19.86	35	18.76	13.41	20.08	8.49	11.36	1.33	8.37	11.12	5.58
SmLNCA119187-IBu	23	16.51	12.57	8.52	6.44	2.94	1.9	2.31	2.71	2.93	3.24	2.28	4.67	2.79	6.33	5.4	9.56	7.48	3.04	1.87	3.11	5.06	5.98	9.18
SmLINC119217-IBu	1.19	0.92	0.44	0.73	0	0.17	0	0	1.07	1.28	1.92	0	0	0	0	0.45	0	0	0	0	0	0	0	0
SmLNCA119219-IBu	1.06	0	0	0	3.36	0	0	0.02	0.48	0.25	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119221-IBu	1.28	0.08	0.11	1.39	0.41	1.17	0.24	0.21	0	0	0.3	0.1	0	0	0.16	0	0	0	0	0	0	0	0	0
SmLNCA119222-IBu	0.57	0	0	0.44	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119227-IBu	1.03	0.44	0.81	0.23	0.25	0.21	0.05	0.09	0.75	0.81	0.41	0.12	0.32	0.16	0	0	0	0	0.11	0	0.26	0.08	0	0.13
SmLINC119228-IBu	2.47	0.4	0.92	0.04	0.27	0.68	0.21	0.45	0.35	0.61	0.28	0.41	0.65	0.22	0.87	0.1	0.12	0.12	0.6	0.89	1.24	0.47	0.41	0.67
SmLNCS119237-IBu	0.64	0	0	0.35	0	0	0	0.5	0	0.41	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119238-IBu	2.86	0.13	0.57	0.92	0	0.49	0	0.24	0.41	0.21	0	0.24	0	0	0	0	0	0.06	0.16	0	0	0.05	0	0
SmLINC119251-IBu	0	0	0	0.21	0	0.13	0	0	0	0	1.27	0.53	1.34	0	0	0.34	0	0.42	0	0	0	0	0	0
SmLNCS119257-IBu	7.31	0.02	0.07	0	0	0.46	0.12	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119285-IBu	0.43	0	0	0	0	0	0.52	0.25	0	0	0	0.44	25.26	40.71	38.5	29.03	23.94	31.57	5.21	8.72	6.7	3.6	12.49	12.46
SmLINC119286-IBu	10.05	22.53	14.59	21.48	36.57	19.46	4.49	4.8	3.45	4.56	4.01	4.7	8.69	10.65	11.66	6.68	4.12	6.12	4.6	7.65	6.05	5.32	3.33	5.41
SmLINC119287-IBu	1.74	1.67	0.44	0.59	0	0.37	1.24	1.55	0.4	0.19	0.7	0.98	3.66	4.61	3.7	0.57	0.5	1.09	1.61	2.17	0.76	0.32	0.24	0.49
SmLINC119288-IBu	1.01	0.4	0.03	0.09	0.47	0	0.39	1.29	0.42	0.25	0	1.33	0	1.62	0	0.38	0.47	1.26	0.38	1.1	0.45	0.28	0.55	0.48
SmLINC119291-IBu	0	0	0	0	0	0	0	0	0	0	0	0	1.04	0	0	0	0	0	0	0	0	0.28	0	0
SmLINC119295-IBu	6.13	9.64	3.07	1.87	1.75	11.83	2.39	2.36	1.23	1.44	1.1	2.13	3.11	1.75	3.18	1.66	1.3	1.7	0.7	0.34	0.27	0.3	0.35	0.37
SmLINC119300-IBu	0.27	0.27	1.09	1.51	2.04	0.45	0	0	0.64	0	0	0.49	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCS119313-IBu	2.16	0.09	0.47	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119314-IBu	1.07	1.77	0.59	3.77	2.43	6.22	3.18	2.26	1.57	0.72	0.98	1.74	6.33	3.03	7.84	4.53	2.86	4.14	0.76	2.17	4.11	2.95	4.96	2.47
SmLNCA119316-IBu	6.57	5.08	2.17	3.78	0.57	4.44	1.85	2.1	2.24	2.26	1.74	1.98	1.66	0.91	1.05	0.77	0.2	0.67	1.32	1.42	1.03	0.62	0.55	0.82
SmLNCA119317-IBu	7.35	1.87	0.69	2.61	0.41	4.81	1.1	1.41	1.74	1.85	0.8	0.93	0.5	1.48	0.33	2.99	1.81	2.79	1.38	1.99	0.54	2.4	2.96	2.49
SmLNCA119319-IBu	1.05	0.05	0.67	0	0	0	0.68	0	1.11	4.47	1.04	0.29	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119326-IBu	0.05	0.17	0.04	0	0	0	0.14	0	0.07	0	0.07	0.06	0	0	0	0.1	0	0.06	0.16	0.31	0.19	0	0.05	0
SmLINC119372-IBu	0.12	0.04	0.11	0	0	0	0.19	0.09	0.3	1.1	0	0.24	0	0	0.29	0	0	0	0	0	0	0	0	0
SmLINC119373-IBu	0.29	0	0.04	0	0	0	0.54	0	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119376-IBu	0.32	0	0.07	0	0	0	0.1	0	0.21	0	0	0	0	0.3	0	0.07	0	0	0	0	0	0	0	0
SmLINC119378-IBu	0	0.08	0	0.15	0	0	0	0	0	0.6	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119392-IBu	0.69	0	0	0	0	0	0.2	0.38	2.38	0.79	1.27	0	0	0.55	0	0	0	0	0	0	0	0	0	0
SmLINC119393-IBu	0	0	0	0	0	0	0	1.18	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119394-IBu	0	0	0	0	0	0	0	0	0	1.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59
SmLINC119396-IBu	3.55	0.06	0.04	0.14	0.25	0.05	0.27	0	0	0.71	0.54	0.18	1.93	2.73	2.76	0	0.15	0.39	0.38	0	0.45	0	0	0
SmLINC119402-IBu	0	0	0	0	0	0	0.27	0.93	2.88	3.07	2	1.76	1.05	0	0	1.27	0.6	0	0	0	0	0	0.6	0.78
SmLINC119403-IBu	0	0.09	0.11	0	0	0.09	0	0	0	0	0	0	1.22	0	0	0.39	0	0.6	0	0	0	0.84	0	0
SmLINC119404-IBu	0.23	0	0	0.2	0	0	0.28	0	0.59	0	0	0	0	1.43	0.87	0	0.41	0.61	0.2	0.78	1.18	0	0	0
SmLINC119405-IBu	0	0	0	0	0	0	0	0	0	1.34	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119406-IBu	0.21	0.05	0.16	0	0	0	0.41	0.39	0	0.55	0.85	0.35	0	0	0	0.23	0	0	0	0	0	0.26	0	0
SmLINC119407-IBu	0	0.04	0.19	0.51	0	0.26	0	0	0.36	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119431-IBu	7.35	2.34	1.38	4.1	2.02	3.54	1.01	1.31	1.5	1.65	1.07	1.14	2.48	0.79	1.42	1.01	0.69	1.12	1.93	1.38	1.32	0.52	0.59	0.8
SmLNCA119432-IBu	0.83	0.43	1.03	6.38	1.33	2.44	0.56	1	1.94	0.7	1.94	0	0	0	4.11	1.24	1.86	0	0	0	0	0.57	0	0.62
SmLNCA119434-IBu	0	0	0	3.65	1.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLNCA119436-IBu	3.77	2.3	1.34	26.15	26.81	34.51	12	11.47	30.54	30.77	17.28	16.28	24.4	15.39	32.46	21.77	20.41	19.69	2.03	2.64	4.11	4.55	6.6	9.66
SmLNCA119444-IBu	0.3	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0.35	0	0.45	0	0	0	0	0.05	0.47
SmLNCA119447-IBu	0.58	0.08	0.1	0.2	0.07	0.01	0.28	0.33	0.79	0.53	1.08	0.47	0.22	0	0	0	0	0	0	0	0	0	0	0
SmLINC119460-IBu	0.95	0	0	0	0.89	0	0	0	0.65	0	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119461-IBu	0	0	0	0	0	0.04	0.99	0.53	0	0	0.33	0.14	0	0.06	0	0	0	0	0	0	0	0	0.07	0
SmLINC119462-IBu	0.98	0.72	0.38	0	0	0.19	0.64	0	0.42	0	1.01	0	0	0	0.3	0.07	0	0	0	0	0.25	0	0	0
SmLINC119463-IBu	5.63	0	0	0.49	0	0.19	0	0.43	0.96	1.96	0	0.25	1.4	1.33	0	0	0	0	0	0	0	0	0	0
SmLNCA119471-IBu	2.83	0.07	0.05	0.3	0	0.22	0.55	0	0.43	0	0	0.12	0	0	0	0	0	0.12	0	0.29	0	0.1	0	0.12
SmLINC101788-IBu	0.33	0.03	0.29	0	0	0.03	0.19	0	0	0	0	0.82	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119476-IBu	0	0	0	1.08	2.77	0.97	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0
SmLINC119477-IBu	0	0	0	0.35	1.35	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SmLINC119478-IBu	1	0.4	0.38	2.42	0	0	0	3.1	0.71	0	0	0.55	0	0	0	0	0	0	0	0.55	0	0	0	0
